,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Sector,Revenue,Location_State,Cleaned Job Title,Predicted Min Salary,Predicted Max Salary,Predicted Avg Salary
185,3.770932754880694,Point72 Ventures,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,CA,Data Scientist,138.6968,111.06664,124.53225
186,3.9,Cuboid IT Solutions,CA,501 to 1000 employees,1996.0,Company - Private,Information Technology,$25 to $50 million (USD),AZ,Data Scientist,138.6968,111.06664,124.53225
187,3.770932754880694,Adyen N.V.,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,NY,Data Scientist,138.6968,111.06664,124.53225
188,3.5,Technosoft Corporation,MI,1001 to 5000 employees,1996.0,Company - Private,Information Technology,$100 to $500 million (USD),MI,Data Scientist,134.06828,110.30418,128.05634
189,3.770932754880694,SentiLink,Unknown,Unknown,1996.0,Unknown,Unknown,Unknown,CA,Data Scientist,138.6968,111.06664,124.53225
190,3.8,GA Telesis,FL,501 to 1000 employees,2002.0,Company - Private,Aerospace & Defense,$500 million to $1 billion (USD),FL,Other Analyst,138.6968,111.916756,126.021095
191,3.1,"Qualifacts Systems, Inc.",TN,201 to 500 employees,2002.0,Company - Private,Information Technology,$25 to $50 million (USD),TN,Other Analyst,135.12361,114.66798,124.50938
192,4.1,Redstream Technology,NY,1 to 50 employees,2007.0,Company - Private,Information Technology,$5 to $10 million (USD),GA,Data Engineer,125.55986,107.162056,122.232124
193,4.7,Strategic Employment Partners,CA,51 to 200 employees,2006.0,Company - Private,Business Services,$1 to $5 million (USD),CA,Data Scientist,120.70964,108.39262,117.670555
194,3.7,CALIBRE Systems,VA,501 to 1000 employees,1989.0,Company - Private,Information Technology,$100 to $500 million (USD),VA,Other Analyst,138.6968,111.06664,124.53225
195,3.3,Mathematica Policy Research,NJ,1001 to 5000 employees,1986.0,Company - Private,Business Services,$100 to $500 million (USD),DC,Data Scientist,135.12361,113.81786,123.020515
196,2.7,Sterling National Bank,NY,1001 to 5000 employees,1966.0,Company - Public,Finance,$10+ billion (USD),NY,Manager/Director,135.12361,113.81786,123.020515
197,4.5,Eliassen Group,MA,1001 to 5000 employees,1989.0,Company - Private,Business Services,$100 to $500 million (USD),GA,Data Scientist,137.083,112.29722,122.86277
198,5.0,"Edison Software, Inc.",CA,51 to 200 employees,1996.0,Company - Private,Information Technology,$1 to $5 million (USD),CA,Data Scientist,133.63074,112.29722,122.86277
199,3.8,Novartis,Switzerland,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Data Scientist,138.6968,111.06664,124.53225
200,4.3,"ConsultNet, LLC",UT,201 to 500 employees,1996.0,Company - Private,Business Services,$50 to $100 million (USD),UT,Data Scientist,137.083,111.06664,124.53225
201,2.3,UPM Pharmaceutical Inc,TN,51 to 200 employees,1996.0,Contract,Unknown,Unknown / Non-Applicable,TN,Other Scientist,135.12361,113.81786,123.020515
202,5.0,HireResources a Tailored Solutions Company (WO),CT,Unknown,2002.0,Company - Private,Business Services,Unknown / Non-Applicable,VA,Data Scientist,133.63074,113.147316,124.35163
203,5.0,Jobot,CA,51 to 200 employees,2018.0,Company - Private,Business Services,$25 to $50 million (USD),CA,Data Scientist,121.89137,107.08271,117.670555
204,3.6,"Creative Circle, LLC",CA,201 to 500 employees,2002.0,Company - Public,Business Services,Unknown / Non-Applicable,TX,Data Scientist,134.06828,111.15429,129.5452
205,4.1,NJF Global Holdings,United Kingdom,51 to 200 employees,2003.0,Company - Private,Business Services,$10 to $25 million (USD),NY,Data Engineer,138.6968,111.916756,123.56693
206,5.0,Alector,CA,51 to 200 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Manager/Director,121.89137,107.08271,117.670555
207,4.2,GTN Technical Staffing,TX,201 to 500 employees,2000.0,Company - Private,Business Services,$25 to $50 million (USD),AZ,Data Scientist,138.6968,111.06664,124.53225
208,4.7,"Steel Point Solutions, LLC",MD,1 to 50 employees,2013.0,Other Organization,Information Technology,Unknown / Non-Applicable,VA,Data Scientist,121.89137,107.08271,117.670555
209,4.2,The Church of Jesus Christ of Latter-day Saints,UT,10000+ employees,1996.0,Nonprofit Organization,Non-Profit,Unknown / Non-Applicable,UT,Data Engineer,138.6968,111.06664,124.53225
210,3.3,Miracle Software Systems,MI,51 to 200 employees,1994.0,Company - Private,Information Technology,$50 to $100 million (USD),Michigan,Data Scientist,135.12361,113.81786,123.020515
211,3.8,Novartis,Switzerland,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),MA,Data Scientist,138.6968,111.06664,124.53225
212,2.9,Pharmavite,CA,1001 to 5000 employees,1971.0,Company - Private,Manufacturing,$1 to $2 billion (USD),CA,Other Scientist,135.12361,113.81786,123.020515
213,4.8,IGNW,OR,201 to 500 employees,2015.0,Company - Private,Information Technology,$25 to $50 million (USD),TX,Data Engineer,121.89137,107.08271,117.670555
